编号,名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,备注
壳体（宽*高*深）：XL 600*1600*400,,,台,1,,,765,765,上海天灵,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
编号：,WAP2-1,,,,,,,,办公楼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
序号,产品名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
合计,,,台,1,,,3830,3830,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
小计A：A=B+C+D+E+F+G,,,台,1,,,,3830,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
1,塑壳断路器,NSX100N TMD 25 3P3D F MX+OF,只,1,1512.32,0.54,817,817,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
2,火灾监控器,FS8201-100,只,1,150,1,150,150,赋安,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
3,多功能表,PMAC770E,只,1,803,1,803,803,派诺,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
4,电流互感器,BH-0.66 25/5A,只,3,39,0.6,23,69,浙江鸿坤,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
5,微型断路器,iC65N-S C10A/1P,只,5,43.89,0.45,20,100,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
6,微型断路器,iC65N-S C16A/1P,只,1,43.89,0.45,20,20,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
7,微型断路器,iC65N-S C10A/3P,只,4,171,0.45,77,308,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
8,后备,LMSCB-80KA/4P，T2,只,1,86,1,86,86,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
9,浪涌保护器,"LMRD-B80/4P,T2,in40KA（8/20us）通讯接口",只,1,420,1,420,420,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
元件小计：,,,,,,,,2773,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
辅材费=（元件小计）*8%,,,套,1,,,222,222,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
人工费=(元器件小计+辅材费)*8%,,,套,1,,,240,240,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
管理费及利润=(元器件小计+辅材费)*7.5%,,,套,1,,,225,225,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
税金=(元器件小计+辅材费)*2.5%,,,套,1,,,75,75,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
壳体（宽*高*深）：XL 600*800*200,,,台,1,,,295,295,上海天灵,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
编号：,WAP2-2,,,,,,,,办公楼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
序号,产品名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
合计,,,台,1,,,15145,15145,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
小计A：A=B+C+D+E+F+G,,,台,1,,,,15145,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
1,塑壳断路器,NSX100N MA 25 3P3D F MX+OF,只,2,1344.25,0.54,726,1452,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
2,双电源切换,"D03ATSB30070JMX0,97C",只,1,5216,1,5216,5216,ASCO,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
3,火灾监控器,FS8201-100,只,1,150,1,150,150,赋安,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
4,多功能表,PMAC770E,只,1,803,1,803,803,派诺,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
5,电流互感器,BH-0.66 50/5A,只,3,39,0.6,23,69,浙江鸿坤,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
6,塑壳断路器,NSX100N MA 12.5 3P3D F,只,6,856.21,0.54,462,2772,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
7,后备,LMSCB-80KA/4P，T2,只,1,86,1,86,86,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
8,浪涌保护器,"LMRD-B80/4P,T2,in40KA（8/20us）通讯接口",只,1,420,1,420,420,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
9,铜排,TMY 25*3,米,5,63,1,63,315,上海铜排,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
元件小计：,,,,,,,,11283,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
辅材费=（元件小计）*8%,,,套,1,,,903,903,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
人工费=(元器件小计+辅材费)*8%,,,套,1,,,975,975,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
管理费及利润=(元器件小计+辅材费)*7.5%,,,套,1,,,914,914,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
税金=(元器件小计+辅材费)*2.5%,,,套,1,,,305,305,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
壳体（宽*高*深）：XL 600*1600*400,,,台,1,,,765,765,上海天灵,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
编号：,WAP3-1,,,,,,,,办公楼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
序号,产品名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
合计,,,台,1,,,3830,3830,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
小计A：A=B+C+D+E+F+G,,,台,1,,,,3830,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
1,塑壳断路器,NSX100N TMD 25 3P3D F MX+OF,只,1,1512.32,0.54,817,817,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
2,火灾监控器,FS8201-100,只,1,150,1,150,150,赋安,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
3,多功能表,PMAC770E,只,1,803,1,803,803,派诺,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
4,电流互感器,BH-0.66 25/5A,只,3,39,0.6,23,69,浙江鸿坤,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
5,微型断路器,iC65N-S C10A/1P,只,5,43.89,0.45,20,100,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
6,微型断路器,iC65N-S C16A/1P,只,1,43.89,0.45,20,20,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
7,微型断路器,iC65N-S C10A/3P,只,4,171,0.45,77,308,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
8,后备,LMSCB-80KA/4P，T2,只,1,86,1,86,86,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
