1-1,柜号：2ZXF、2BXF,型号：,,,,名称：,,
3,电气火灾监控探测器,电气火灾监控器 报警电流300mA,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,电流互感器,BH-0.66 Ⅰ 40/5 实芯 0.5级,只,3,29.775,89.33,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,电度表,ADL400-CF,只,1,450,450,安科瑞,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,微型断路器,E50 MCB 1P C16A 6kA,只,7,10.16,71.12,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,微型漏电断路器,E50 RCBO 1P+N C16A 30mA 6kA,只,2,53.51,107.02,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,浪涌保护器+后备保护器,OVRF2 4L 80-350+SJ204-C63,套,1,1108.72,1108.72,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,元器件小计,,,,,2541.92,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,人工费,,,,,330,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,铜排,,,,,30,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,单台合计,,,,,2901.92,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,1,,2901.92,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-553,柜号：10312-AP1,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,600*900*250,只,1,355.5,355.5,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,塑壳断路器,D1C 125 TMF40/400 F F 3P+SOR+1Q,只,1,360.23,360.23,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,电气火灾监控探测器,电气火灾监控器 报警电流300mA,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,电度表,ADL400-CF,只,1,450,450,安科瑞,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,电流互感器,BH-0.66 Ⅰ 40/5 实芯 0.5级,只,3,29.775,89.33,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,微型断路器,E50 MCB 1P C16A 6kA,只,7,10.16,71.12,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,微型漏电断路器,E50 RCBO 1P+N C16A 30mA 6kA,只,2,53.51,107.02,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,浪涌保护器+后备保护器,OVRF2 4L 80-350+SJ204-C63,套,1,1108.72,1108.72,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,元器件小计,,,,,2541.92,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,人工费,,,,,330,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,铜排,,,,,30,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,单台合计,,,,,2901.92,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,1,,2901.92,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-554,柜号：10516-AP1,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,600*900*250,只,1,355.5,355.5,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,塑壳断路器,D1C 125 TMF40/400 F F 3P+SOR+1Q,只,1,360.23,360.23,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
